Name,breakfast,lunch,dinner,veg\nonveg,calories,fats,saturatedfats,sodium,carbohydrates,fiber,sugar,protein
Crispy Chicken Biryani,0,1,1,1,0,0,0,0,0,0,0,0
Hyderabadi Chicken Biryani,0,1,1,1,38.6,1.1,0.2,40.9,7.5,2.2,2.7,1.5
Basic Biryani,0,1,1,1,312.7,7.2,3.2,929.7,53.2,3.5,2.1,8.9
Chicken Barley Biryani,0,1,1,1,403.8,16.7,4.6,266.1,38.9,8.5,2.6,24.9
Gobi ka Paratha,1,0,0,0,292.6,4.4,0.9,570.8,56.9,15.2,11.1,15.7
Cabbage Parathas,1,0,0,0,24.7,0.1,0,402.3,5.8,2,3.5,1.4
Basic paratha dough,1,0,0,0,1030.2,16.1,2.1,5,190.8,6.8,0.7,25.8
Masaledaar Aloo Parathas,1,0,0,0,1142.2,22.6,12.6,68.4,217.2,31.9,13.7,32.6
Spinach Parathas,1,0,0,0,9.9,0.1,0,7.2,2,0.3,0.1,0.4
Besan Parathas,1,0,0,0,28.3,0.6,0.1,10.2,4.3,0.9,0.8,1.6
Cauliflower Parathas,1,0,0,0,26,0.2,0,8.1,5.8,1.1,2.3,1.2
Tomato Onion Parathas,1,0,0,0,13.7,0.1,0,5.4,3.1,0.6,1.4,0.4
Paneer Parathas,1,0,0,0,57.2,4.3,2.6,2.8,4.7,0.7,2.3,0.8
Bikaneri Paratha,1,0,0,0,53.6,4.3,0.6,1.2,3,0.9,0.5,1
Methi Paratha,1,0,0,0,829.2,14.1,4.5,1271.9,155.2,25.7,8.1,33.4
Jalebi Paratha,1,0,0,0,940.4,53.6,8.1,33.5,98.9,3.9,0.3,15.1
Aloo Paratha (Indian Potato-Stuffed Flatbreads),1,0,0,0,359.8,7.9,1.1,398.2,64.5,6.9,1.1,9.6
Onion Paratha,1,0,0,0,439.4,9,4.7,599.1,81,13.5,2.9,15.5
Laccha Paratha,1,0,0,0,315.8,9.4,4,617.7,49.4,1.7,1.5,7.5
Egg Parathas,1,0,0,1,252.8,8.8,1.8,39.7,36.6,6.1,0.8,9.7
Cabbage Paratha,1,0,0,0,360.3,7.7,1.8,27.8,66.5,12.8,5.5,13.1
Bangladeshi Egg With Paratha,1,0,0,1,543.9,30.2,8.8,258.7,50.2,1.9,1,16.9
Mooli Paratha / Punjabi Mooli Ka Paratha / Radish Paratha,1,0,0,0,455.1,20.3,2.7,2359.1,62.7,10.2,3,11.6
Spinach Paratha,1,0,0,0,19.2,0.2,0,4702.4,3.7,1.6,1.2,1.5
Akoori - Indian Scrambled Eggs,1,1,1,1,246.8,16.9,4.2,144.5,10.1,1.6,5.2,13.7
East Indian Chicken,0,1,1,1,558,4.8,1.1,399.4,96.5,5.2,12.4,30.8
Indian Rice Pudding,0,1,1,0,198,6,3.7,80,30.7,0.1,16.6,5.9
Indian Chicken Curry,0,1,1,1,923.9,48.7,19.5,178.4,97.3,38.1,6.5,46.3
Indian Tacos,0,1,0,0,871.5,25.4,12.7,1512.1,108.6,11.2,1.6,49.8
Indian Pudding,0,1,1,0,171.9,4.9,2.5,148.6,27.6,0.7,14.6,5.2
Dohi Maach - Fish in Curd - An Indian Delight,0,1,1,1,151,8.7,1.8,438.9,7,1.3,2.9,11.8
Crab-Indian gravy,0,1,1,1,133,1.6,0.3,370.9,5.1,1.1,2.5,23.5
Indian Corn Pudding,0,1,1,0,170.2,6.5,1.6,425.2,20.9,2.3,3.1,9.4
Indian Samosa,0,1,0,0,430.7,17.6,2.3,20.3,61.8,6,4,7.8
Indian Tuna Salad,0,1,1,0,41.3,3,0.2,118.7,3.6,0.6,0.4,0.8
Ras Gulla (Indian Cheese Balls in Sugar Syrup ),0,1,0,0,421.5,7.2,4.5,346.6,85.2,0,77.3,6.7
South Indian Curry Powder,0,1,1,0,1299.3,18.6,1.8,99.6,228,78.9,46.2,73.9
Aloo Paratha (Indian Potato-Stuffed Flatbreads),1,0,0,0,359.8,7.9,1.1,398.2,64.5,6.9,1.1,9.6
Indian Tacos (And Fry Bread),1,0,0,0,560.1,12.3,4.8,1189.9,79.7,13.4,7.6,33.6
Indian Fry Bread,1,0,0,0,91.2,0.2,0,153.8,19.2,0.7,0.1,2.6
Indian Pudding,0,1,0,0,263.8,8.5,4.7,235.8,39.2,1.2,6.5,8.8
Indian Rice Pudding With Cardamom,0,1,0,0,526.2,39.6,24,121.8,35.1,0.7,20.2,10
Paal Payasam (Indian Rice Pudding),0,1,0,0,714.1,6,2.6,321.1,141.7,1.9,76.3,24.9
Indian Spiced Rice,0,1,0,0,122.6,1.2,0.7,158.2,25,0.5,0.1,2.3
Homemade Paneer / Panir (Indian Curd Cheese),1,1,1,0,156.4,8.2,4.7,123.8,12.2,0,14,8.7
Indian Coconut Soup,1,1,1,0,401.4,33.6,25.5,125.1,23.7,1.1,14.8,6.7
Lhassi (Indian Yoghurt Drink),1,1,1,0,158.7,4.3,2.8,136.7,19.7,0.3,19.5,10.5
Indian Lentils and Rice Soup,1,1,1,0,364.4,3.3,2.3,250.9,64.5,16.6,7.2,19.2
Sev ( Deep fried crispy Indian snacks),1,0,0,0,1741.7,157.8,91.8,1180.1,74,25.2,12.4,24.9
Indian Jaggery Rice Pudding (Vellam Payasam),0,1,0,0,311.3,6.7,4,5,63.1,0.3,50,1.2
Chickpea Daal (Indian),0,1,1,0,136.8,4.2,2.3,561.7,22,3.9,2.5,4
Palak Paneer (Indian Fresh Spinach With Paneer Cheese),1,1,1,0,65.7,4.2,2.5,241.1,6,1.9,2.1,2.4
Indian Chicken With Vegetables (Murgh Subji Wala),0,1,1,1,370.6,25.7,6.6,684.9,7.3,1.7,3.4,27.2
Easy Crescent Samosa (Indian Style Sandwiches),1,0,0,0,163.8,3.9,0.8,344,30,3.8,8.7,4.7
Indian-Style Potatoes and Snow Peas,1,1,0,0,994.7,38.6,5.1,1227.1,145.6,17.9,12.6,19.8
Masala Dosa with Coconut Chutney (South Indian Savory Crepes with filling),1,1,0,0,497.4,9.4,1.3,17,87.8,14.8,5.7,15.9
Indian Lamb Curry,0,1,1,1,421.4,34.5,12.3,81.7,7.2,1.8,3.1,20.6
Indian Spicy Peas (Sukhi Matar),1,1,1,0,107.5,3.3,0.4,335.7,15.4,4.6,5.8,5.1
Indian Hot Onion Relish,1,1,1,0,81.8,0.6,0.1,587.3,19.8,3.3,7.7,1.9
Basic masala recipe for Indian vegetables,1,1,1,0,42.2,0.7,0.1,34.3,8.8,2.5,2.6,1.5
Indian Potatoes with Mustard Seeds (Sookhi Bhaji),1,1,1,0,255.6,1.2,0.2,23.4,56.6,8.1,4.7,7.1
Chai (Indian Tea),1,1,1,0,82.9,4.6,2.8,64.8,6.7,0.5,0,4.2
Indiana Mexican Lasagna,0,1,0,0,401.7,17.3,5.9,537.5,39.4,2.4,1.5,20.4
My Very Own Summer Yogurt Cooler (Indian Lassi),1,1,0,0,76.3,4.1,2.6,349.9,6,0.1,5.7,4.3
Indian Pudding,0,0,1,0,262.2,5.3,2.4,275.4,48.7,1.3,23.6,6.3
Keerai Mologutal (South Indian Spinach-Lentil Stew),0,1,1,0,215.4,11.2,6.6,660.7,21.6,11.5,2,10
Indian Snack Mix,0,1,0,0,736,55.4,7.6,660.6,50.7,6.2,4.6,16.4
Indian Style Curried Potato Salad,1,1,1,0,278.1,12.8,2.2,308.9,37.3,5.1,3,6
Cherokee Indian Curry AAA Steak Sauce,0,1,0,0,599.6,29.1,3.8,1654,82.7,4.8,59.9,3.4
White pumpkin with pulses(S. Indian style white pumpkin in hot and sour gravy),1,0,1,0,239.3,11.7,6.9,1195.7,27,10.7,5.8,9.1
New England Corn Pudding (Indian Pudding 1),1,0,1,0,313.3,18.4,10.7,319,32.7,0.7,20.2,6
Indian Pudding 2 (New England Corn Pudding),1,1,1,0,404.9,14.9,8.9,567.3,63.2,1.4,36.9,7.7
Mom's Perfect Theritipaal (South Indian Milk &quot;Fudge&quot;),1,1,1,0,182.5,4.8,3,104.1,28.7,0,22.6,7
West Indian Bean Dip,0,1,1,0,681.6,31.4,14.5,487.4,70.2,14.7,3,32.6
Indian Fried Rice with Peaches,0,1,0,0,285.5,8.9,1.1,3.2,46.6,2.4,4.5,4.7
Indian Chili Chicken with Onions,0,1,1,1,1019.5,79.9,14.3,2163.3,39.2,5.5,16.9,40.9
Fragrant Indian Rice Stuffing,0,1,1,0,392.8,22.2,2.1,66.5,44.5,3.5,11.5,8.2
Indian Potatoes with Cauliflower - Aloo Gobi,1,0,1,0,288.9,7.8,1,499.8,51.1,9.5,7.5,7.9
Indian Egg Rolls,1,1,1,1,251.1,13.1,3,845.3,22.6,1.1,1.2,10.4
Indian Punjabi Palak Kadhi - Spinach Curry with Yogurt Sauce,0,1,0,0,150.2,7.8,1.1,384,13.5,2.2,8.3,7.5
Low Cal Indian Steamed Hilsa,1,1,1,1,7,0.1,0.1,294.6,1.2,0.1,0.5,0.4
Dal Maharani (The Queen of Indian Lentils!),0,1,1,0,240.8,18.3,8.5,43.4,16.4,4.2,4.2,4.9
To Die For The World's Best Indian Mango Curry,0,1,1,0,261.7,6.2,2.4,1159.8,43.7,3.9,37.5,11.7
Indiana Succotash,0,1,1,0,144.7,6.8,3.8,617,21.6,3.6,5.2,3.5
Indian Spice Blend,0,1,1,0,21.7,0.9,0.1,5.4,3.6,1.2,0.2,0.8
Indian Style Lemonade,0,1,1,0,150.1,0.1,0,10.2,39.3,0.2,32.7,0.2
Indian Summer Punch,0,1,1,0,865.1,1,0.1,9,87.2,1.5,69.3,4
"Indian spiced fish in creamy, yoghurt sauce",0,1,0,1,364.8,21.6,12.9,187.2,18.2,2.2,8.8,25.4
Indian Paneer Cheese,0,1,1,0,992.8,105.1,65.8,115.6,10.1,0,0.4,7.4
Indian Chai Tea or Smoothie,0,1,1,0,112.3,4.5,2.8,63.9,14.8,0.2,8.7,4.1
Mom's 3C's Mologutal (South Indian Vegetable Lentil Stew),0,1,1,0,180.5,10.4,7.6,23.2,17.8,8.2,3.4,6
Indian Fried Rice,0,1,0,0,475.8,17.3,2.3,12.5,71.7,4.9,1,9.5
Indian Fried Rice,0,1,0,0,503.9,15.6,5.8,1073.9,78,9.4,7.2,14.2
Indian Summer Vegetable Soup,1,1,1,0,334.7,8.6,1.6,412.9,55.3,8.4,12.5,13
Indian Fry Bread,0,1,1,0,235.2,1,0.3,382.8,48.7,1.7,0.2,6.8
"Potato (Aloo) Posto - a Bengali , Indian Vegetarian Recipe",0,1,1,0,225.7,5.6,0.8,168.2,40.6,5.5,2.9,4.9
North Indian Methi Butta Palak - a 'fenugreek Leaves-Baby Corn,0,1,1,0,131,7.7,1.1,638.7,14.7,3.2,2.9,3.6
Homemade Indian Curry Powder Mix,0,1,1,0,15.6,0.6,0.1,3.1,2.9,1.3,0.1,0.5
West Indian Pumpkin Soup,0,1,1,0,186.4,11,6.4,674.9,16.8,1.8,4.4,7.2
Dad's Nutritious Muthiyas' - An Indian appetiser with tofu stuff,0,1,1,0,147.1,7.4,1,184.6,17.4,2.1,0.7,3.1
Indian Tofu Pancakes,0,1,0,0,93.5,1.7,0.4,20.9,16,1.4,7.5,4.9
Indian-Style Cauliflower,0,1,1,0,84.8,0.9,0.2,322.6,15.8,4.6,5.5,5.2
Indian Spice Walnuts,0,1,1,0,783.9,76.8,7.2,904.7,17.8,8.2,3.8,20
Indian Candy-Smoked Salmon,0,1,1,1,3263.9,0.2,0,113403.2,852.3,0.5,826.1,1.4
"Kidney Bean Chili, Indian Style (Rajma in Masala)",0,1,1,0,99.7,3.2,1.7,659.3,14.9,3.8,3.8,4.2
East Indian Cheese Logs,0,1,0,0,1652.6,126.6,63.3,1165.5,95.3,11.2,55.9,51.6
Indian Chicken Pudding,0,1,0,1,998.2,49.6,20,3948.9,103.5,6,9.6,44.8
Indian Spiced Rice,0,1,0,0,290.3,3.9,0.5,302.6,55.5,8.7,6.2,9.2
Indian Pudding,0,1,1,0,236.3,9.4,5.5,205,33.5,0.6,18.8,5.7
Amritsari Machi - Punjabi(Indian) Fish,0,1,1,1,305.1,2.1,0.5,138.8,38,3,1.8,32.6
Indian Protein-Laden Dal Shorba (Lentil Soup),0,1,1,0,156.6,13.9,1.8,8.4,8.7,1.4,1.5,1.5
Hot Indian Chai Drink,1,1,1,0,134.8,5,0.6,139.1,13.4,3.8,1.3,11.3
East Indian Pea & Potato Wrap,1,1,0,0,224.1,3,0.7,444.9,43.4,3.2,3.7,5.9
Indian Smothered Curried Potatoes,0,1,1,0,208,8.6,5.2,459,30.1,3,6.5,3.6
Spicy Dal Parathas (Indian Lentil-Stuffed Tortillas),1,0,0,0,130.2,4.1,1.6,293.9,19.7,5,0.3,4.9
Mom's Quick-n-Easy Kesari (Indian Semolina Sweet Dish),1,0,1,0,217.6,7.6,4.2,15.3,35,0.9,19.1,3
American Indian Fry Bread,1,0,0,0,167.5,2.1,0.8,206.4,31.5,1.1,0.2,5
Indian Pudding (Microwave),1,0,1,0,256.7,9.4,5.1,121.5,37.7,0.6,24.1,6.3
Indian Lentil Sandwich Spread,1,0,1,0,138.6,1.1,0.1,12.3,24.4,9.2,1.9,9.9
Tofu &amp; Potato Stuffed Bell Peppers in a Spicy Indian Sauce,1,1,1,0,191.9,4.8,1,90.4,34,8,13.3,7.3
Baklava - An Indian Milk Sweet In Sugar Syrup,1,0,0,0,553.4,22.9,11.3,216.1,79,2.7,42.2,10.2
Indian Style Mung Beans,1,0,1,0,293.4,11.8,1.5,23.8,35.7,10.9,2.4,14.2
Green Tomatoes with Indian Spices,1,0,1,0,331.6,28.6,3.7,57.6,19.6,4.9,11.5,4.6
Samosas...indian Savoury Pies,1,0,0,0,70.3,2,0.3,2.2,11.7,0.9,0.3,1.5
Indian Chicken and Mushrooms in Spiced Tomato Cream,0,1,1,1,488.2,27.6,7.5,657.9,22.5,3.9,7.9,39.7
Indian Potatoes and Cauliflower,1,0,1,0,152.4,2.7,0.5,52,28.9,6.5,4.8,6.1
Indian Lamb Wraps,0,1,0,1,832.6,46.5,16.7,1215.1,66.2,4.5,5.1,35.9
Indian Spinach/Paalak Fry,1,0,1,0,199.2,8.5,1.1,144.2,25.7,8.8,8,9.9
Dosas (Indian Rice and Lentil Pancakes),1,0,0,1,196.7,3.4,0.5,584.8,35.6,4.9,2.1,5.8
Indian Pudding,1,0,0,0,490.4,13.5,7.7,373.1,86.3,1.9,55.5,10.4
Matthan Erisheri (South Indian Pumpkin and Lentil Stew),1,0,1,0,189.2,8.6,6.3,7.5,22.2,9.7,2.5,8
Indian Style Shrimp and Scallop Skewers,0,1,1,1,218.2,13.3,1.9,824.4,4.1,0.2,0.1,19.7
Spicy Indian Kofta,0,0,1,0,385.1,27.6,11.9,84.5,12.1,2.5,2.8,21.6
Indian Lamb and Spinach,0,1,0,0,407.2,27.1,10.8,187.7,10.8,3.7,3.9,30.7
Indian Shrimp,1,1,1,1,142.4,3.9,0.5,722.3,8.4,1.9,4.1,18.6
Uncle Bill's Indian Split Pea Soup,1,1,1,0,75.3,3,0.4,135.3,9.4,3.3,1.6,3.3
Addictive Spicy Peas Rotis (Indian Flatbreads),1,0,0,0,191,1,0.2,295.6,40.4,7.5,2.5,8.3
"Eat One, Grab All Paneer wali rotis (Cottage cheese Indian flatb",1,0,1,0,188.4,2.3,1,5.8,38.2,6.5,1.8,7.2
Lamb in Indian Spices and Yoghurt,0,1,1,1,734.3,52.7,20.2,171.4,16,4.3,6.9,49.4
Indian Mutton Biryani,0,1,1,1,651.1,24.3,7.3,83.6,80.5,5.3,5.2,27.5
South Indian Spicy Awesome Fish Chettinad,0,1,1,1,198.1,7.7,1,16,30.6,3.6,4.7,5.3
Indian Sandwich,1,0,0,0,157.4,5,2.9,354,20.8,1.1,2.3,7.3
Naan (Indian Flat Bread),1,0,0,0,401.9,9.3,5.3,591.7,66.5,2.2,1,11.6
Indian Pizza,0,1,0,0,224.5,8.3,2.5,237.5,18.8,2.4,1.3,19
Indian-Style Potatoes - Khatta Aloo,1,0,1,0,132.2,7.2,1,8.1,16.6,2.9,2.3,2.2
Red Indian Fish Masala,0,1,1,1,381.4,3.6,0.8,504.5,33.9,6,14.4,53.2
Pol Roti (Coconut Roti/Indian Flatbread),1,0,1,0,295,2.6,0.5,27,59.4,3,3.9,7.8
Bread Machine Indian Bread,1,0,0,0,145.9,2.2,0.3,198.7,27.8,1.4,1.5,3.5
Bridgetown Potatoes & West Indian Style Shrimp Scampi,1,1,1,1,1251.6,75.4,45,1020.9,67.6,8.7,4,77.4
Indian Egg Spread,1,0,1,1,69.6,4.5,1.2,171.9,2.7,0.6,1.6,4.5
Spicy Indian Dahl,0,1,1,0,303.1,8.3,4.3,606.2,44,8.9,2.4,16.5
Indian Chaat ,0,1,0,0,73.1,1.2,0.7,20.8,13.8,2,4,2.8
Tortillas the Indian Way,0,1,0,0,204.4,4.1,1.6,235.2,35.7,1.2,1.8,5.6
masala chai (indian spiced tea),1,1,1,0,116.5,3,1.9,44.8,20.4,0,16.6,2.7
Dad's Favourite Yummy Indian Dessert - Shrikhand,0,0,1,0,373,5.7,2.8,173.9,68.6,0.5,67.5,13.8
Indian Okra Curry Made In Buttermilk,1,1,1,0,238.2,14.8,8.7,137.3,21.5,4.8,9.4,8.3
Indian Spiced Cauliflower Soup,0,1,1,0,137.4,7.7,2.9,285.4,11.9,1.9,4.8,6
Salmon Cutlets in Indian Creamy Sauce,1,0,0,1,635.1,34.7,20.7,258.5,12.3,2.2,5,68.7
Spicy Indian Barbecue Sauce,1,1,0,1,215.8,11.1,2.1,1382.4,24.1,2.8,11.2,6.4
Indian Fish Pakoras,0,1,1,1,31.9,0.8,0.1,24.8,6.3,1.6,1.4,1.3
Coconut Lovers' Indian Semolina Parathas(Coconut-Suji Ke Paratha,1,0,0,0,481.5,14.9,12.3,14.8,75.5,7.6,8.1,12.8
Indian Mince Cutlets,1,0,0,1,546.4,30,12.6,131.5,41,5.3,2.1,27.5
D'Belli (The Indian Burger),1,0,0,0,396.4,22.6,3.2,213.4,40.6,4,9.9,10.4
"Hyderabadi Khatti Dal (Mango Lentil Curry from the Indian state,",0,1,0,1,586,16.4,2.1,55.1,90,32.4,29.7,26.5
Indian Kadai Chicken,0,1,1,1,940,69.2,16.8,260.5,13.7,3.4,6.8,64.7
Ras Malai (Indian cheese balls in milk),0,1,0,0,438.5,13.9,8.5,362.6,61.2,0.6,33.5,18.3
Indian Pudding,0,1,1,0,141,5.3,3.3,62.3,21.6,0.5,12,2.5
Delicious Indian Chickpeas Pulao,0,1,0,0,443,19.4,9.3,110.2,64,8.7,9.9,8.9
divine indian spinach,1,0,1,0,97.8,7.5,4.1,239.8,6,3.2,1.1,4
Indian Curried Turkey Salad,0,1,1,1,261.2,18.8,5.1,569.1,22.4,2.5,10.9,4.4
Indian Turkey Cutlets,1,0,0,1,44.1,2.6,0.4,396.8,5.5,0.8,3,0.9
Five Colour Pretty Indian Pulao(Pilaf),0,1,0,0,268.9,8.4,1.2,20.6,44.1,3.5,3.2,5.1
Spicy Indian Fish Koftas,0,1,1,1,64,0.8,0.2,387,7.2,0.5,1.1,6.8
Indian Red Gun Powder (Molaha Podi),0,1,0,0,396.7,15.2,2,1180.2,54,13.8,23.1,14.2
Delicious Indian Pista Burfee,0,1,1,0,343.6,12.7,5.2,199.6,47,1.5,37.4,12.2
Mooga Ambat (Sprouted Indian Green Gram Curry),1,1,0,0,828.9,56.3,38.5,33.5,64.5,33.7,9.4,24.5
Buttermilk- (Indian),1,0,1,0,71.9,4.7,2.5,42.4,4.8,0.1,0.4,2.9
Cardamom Flavoured Indian Mango Chutney,0,1,1,0,2.5,0,0,10.8,0.6,0.1,0.6,0
Apple Milk Indian Delicacy(Seb Rabdi),0,0,1,0,481.6,15.7,9.1,201.2,75.6,3.5,52,13.6
Indian Chicken Balls,0,1,1,1,21,1.8,0.8,31.8,0.4,0.1,0.1,0.9
Indian Creamy Rice Pudding (Phirni),0,1,1,0,344.6,15.7,6.5,129.3,41,1.4,19.6,11.8
Indian Spiced Chicken and Spinach,0,1,1,1,367.4,22.4,8.5,1133.2,12.6,5.7,2.5,31.9
Indian Cabbage and Carrots,1,0,1,0,197.6,14.8,1.9,802.6,16,5.1,8.5,3
Indian-Spiced Chickpeas and Red Peppers,1,1,1,0,321.7,9.2,1.2,1123.5,51.7,10.5,5.3,10.5
Indian Corn Pilaf,0,1,1,0,229,5,0.8,4.7,42.2,2.4,0.4,4.7
Indian Chicken,0,1,1,1,335.4,5.2,1.2,18.2,62.9,5.3,4.7,9.1
Roti ( Indian Bread ),1,0,1,0,208.7,5.7,1.2,641,34,1.2,0.5,5.1
Indian Chicken Makhani,0,1,1,1,483.8,15.8,6.3,805,53.2,2.7,14.1,31.9
Simple Fried Rice  ( Indian ),0,1,0,0,588.8,20.9,13,1317.4,90,1.5,0.1,8.2
Low-Fat Version of Indian Butter Chicken,0,1,1,1,316.5,3.3,0.7,341.7,36.7,2.8,10.3,33.7
Indian Lamb and Vegetable Curry,0,1,1,1,779.2,51.3,20.4,193.4,32.2,6.6,6.7,48.1
Potatoes With Indian Spices,1,0,1,0,208.9,3.8,0.5,18,40.3,5.3,1.8,4.8
Dum Aloo (Indian Potatoes),0,0,1,0,67.9,0.2,0,100.5,15.3,2.4,2,2.1
Elaichi Chaa (Indian Cardamom Tea),1,1,0,0,48.8,0,0,8.3,12.6,0,12.6,0
Lamb Frankie (Indian Street Type Sandwich),0,1,0,1,461.5,21.2,7.6,792.8,46,3.6,6.8,21.7
South Indian Cabbage and Carrot,1,0,1,0,84.3,5.7,1.1,257.9,8.4,2.2,4,1.3
Aloo Ka Bhartha  (Indian Style Mashed Potatoes),0,0,1,0,486.9,27.5,4.1,19.2,55.8,7,2.5,6.5
"Super-Healthy, Super-Spicy Indian Vegetable Medley",1,1,0,0,279.6,0.9,0.2,75.1,64.3,13.3,14,8
Mixed Nuts Indian Ice-Cream (Kulfi),0,1,0,0,339.1,27.2,16,108.5,20,0.1,15,5.5
Aloo Mutter - Indian Potatoes With Peas,0,1,1,0,107,0.5,0.1,241.7,23.2,3.7,4.2,3.8
Indian-Style Chilled Carrot Salad,0,1,1,0,104.4,7.3,0.9,350.6,9.8,2.7,4.6,1.2
Shrimp in Indian Sauce,0,1,1,1,465,22.1,11.4,2258.1,10.1,0.8,4.5,54.4
Indian Style Pumpkin Soup,0,1,1,0,170.9,10.8,8.9,13.1,19.7,1.6,4.4,3.7
Indian Fry Bread,1,0,0,0,119.5,0.9,0.1,260.2,24.2,0.8,0.1,3.2
Indian Cabbage Stir-Fry,1,0,0,0,50.9,1.1,0.1,416.2,10,3.8,6.2,2.6
Indian Style Broccoli,1,0,1,0,181.1,9.6,1.8,60.9,21.9,5.8,9.8,5.9
East Indian Chocolate Cake With Filling,0,0,1,0,1255.4,53.8,32.8,734.8,187.6,8.7,133,10.7
Sprouts and potato salad in Orange juice,0,1,0,0,342.9,0.6,0.1,26.4,77.6,9.4,12.8,9.7
Sprouts Sandwiches,1,0,0,0,39,2,1.2,20.1,4.8,1.2,2.6,1.4
Brussels Sprouts 'n Potatoes,1,0,1,0,150.8,5.4,3.1,83,23.3,4.9,4.3,4.6
Black Coffee Barbecue Sauce,0,1,0,1,772,3.9,0.5,2241.9,189.6,6.4,164.3,7
Chocolate Coffee,1,0,0,0,308.3,19.3,11.9,43.5,20.3,3.1,11.5,5
Chocolate Coffee Ice Cream Soda,1,0,0,0,91,1.1,0.7,164.6,19.6,0,18.2,1
Creamy Iced Coffee,1,1,0,0,64.6,0.1,0,19.1,15.9,0,15.7,0.3
Coffee Punch with Ice Cream Floats,1,1,0,0,240.4,19.5,12.1,49.3,15.6,0.5,13.3,2.5
Iced Coffee Cream,1,1,0,0,284.9,17.6,10.9,109.8,25.9,0.6,18.6,5.9
Sweetened Iced Coffee,1,1,0,0,151.3,6.3,3.9,85.8,17.8,0,8.3,6.1
Coffee Liqueur (Fake Kahlua),1,1,0,0,704,0.1,0,24.6,122.6,0,118.1,1.2
Instant Coffee Kahlua,1,1,0,0,4621.1,0.1,0,43.5,608,0,602,1.5
Cappuccino Coffee Mix,1,1,0,0,54.3,2.2,2,12.4,8,0.1,6.8,0.7
Coffee Frappe,1,1,0,0,48.4,0,0,10.5,12.5,0.1,9.5,0.1
Copycat Coffee House Whipped Cappuccino,1,1,0,0,274,6.1,3.9,147.9,45.8,0.6,40.4,10.2
Iced Coffee II,1,1,0,0,241,0.5,0.2,37,41.1,0,0,12.2
Cinnamon Peach Coffee Cake,0,1,0,0,555.5,23.5,2.9,280.6,82.8,3.2,56.6,6.5
Caribbean Coffee,1,1,0,0,37.8,1.2,0.8,27.4,4.4,0,4.7,2.2
Chocolate Coffee II,1,1,0,0,136.4,6.9,4.3,88.4,15.8,0.8,8.4,4.7
Spicy Garlic Ginger Roti,1,0,1,0,260.5,15.1,9.1,2.3,28.6,4,0.2,5
Makki Di Roti,1,1,1,0,115,3,0.4,0.5,19.1,0.7,0.1,2.6
Missi Roti,1,1,1,0,303.2,9.7,4.3,416.2,42.4,7.6,4.7,12.8
Hari Bhari Hari Roti (All The Way Green Green Peas Roti),1,1,1,0,115.9,2.2,0.3,293.2,21.3,4,0.9,4.4
Vegetable Rotini,1,1,1,0,1046,35.9,17.6,1967.9,138.1,14,13.8,41.6
Basic Rotis or Chappatis,1,1,1,0,68,0.5,0.1,1,14.4,2.1,0.1,2.6
Summer Corn and Tomato Pasta,1,1,0,0,324.6,9.4,4.4,682.9,52.1,9.3,7.1,11.7
Apricot Chicken With Pasta,0,1,0,1,1213.5,30,7.2,138.7,173.5,11.8,25.9,62.3
Olive Garden Pasta E Fagioli,1,0,0,0,506.2,18.9,6.5,1709.4,52.8,11.2,14.9,31.6
